##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS
11,Ayo Dosunmu,*,32,9-15,0-3,3-4,0-5,5,3,0,4,1,1,21
21,Kofi Cockburn,*,34,3-9,0-0,7-11,0-2,2,2,0,1,2,1,13
01,Trent Frazier,*,31,1-5,1-4,2-2,1-1,2,4,0,1,0,1,5
15,Giorgi Bezhanishvili,*,25,2-4,1-2,0-0,0-4,4,4,2,6,1,0,5
20,Da'Monte Williams,*,29,0-2,0-0,2-2,1-2,3,2,1,3,1,3,2
00,Alan Griffin,,18,2-7,0-4,4-4,3-3,6,3,0,0,0,1,8
02,Kipper Nichols,,12,1-4,0-1,0-0,2-0,2,0,0,1,0,0,2
10,Andres Feliz,,16,0-4,0-0,0-0,1-0,1,2,1,1,0,0,0
05,Tevian Jones,,3,0-0,0-0,0-0,1-0,1,0,0,0,0,0,0
32,Tyler Underwood,,0+,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0
TM,TEAM,,0,0-0,0-0,0-0,3-3,6,0,0,0,0,0,0
