##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS
21,Kofi Cockburn,*,25,8-10,0-0,4-4,5-8,13,2,2,1,0,0,20
11,Ayo Dosunmu,*,23,9-13,2-4,0-0,0-1,1,1,3,1,0,0,20
10,Andres Feliz,*,21,6-8,0-0,7-9,2-2,4,2,5,2,0,1,19
15,Giorgi Bezhanishvili,*,24,3-4,1-1,7-8,0-5,5,0,4,2,1,0,14
01,Trent Frazier,*,24,1-2,1-2,0-1,0-0,0,1,5,1,0,2,3
00,Alan Griffin,,23,8-12,3-7,0-0,1-5,6,1,1,0,0,1,19
32,Tyler Underwood,,6,1-3,1-2,3-4,0-0,0,0,1,0,0,0,6
20,Da'Monte Williams,,16,2-4,0-1,1-1,0-4,4,1,2,0,0,2,5
13,Ben Bosmans-Verdonk,,10,2-5,0-0,0-0,2-0,2,3,4,0,0,2,4
34,Jermaine Hamlin,,9,2-2,0-0,0-0,1-1,2,3,0,2,0,1,4
02,Kipper Nichols,,12,1-3,0-0,0-0,0-1,1,0,1,0,0,0,2
35,Samson Oladimeji,,4,1-2,0-1,0-0,0-1,1,0,0,0,0,0,2
04,Zach Griffith,,3,1-2,0-0,0-0,2-0,2,0,1,0,0,0,2
TM,TEAM,,0,0-0,0-0,0-0,1-1,2,0,0,0,0,0,0
