##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS
21,Kofi Cockburn,*,30,6-14,0-1,7-9,6-4,10,1,1,1,4,0,19
11,Ayo Dosunmu,*,36,6-13,0-0,2-2,2-6,8,1,3,4,0,0,14
15,Giorgi Bezhanishvili,*,35,6-10,0-2,0-0,2-6,8,2,1,3,1,0,12
01,Trent Frazier,*,26,3-8,0-4,2-2,0-1,1,3,0,0,0,2,8
20,Da'Monte Williams,*,25,0-1,0-1,0-0,1-3,4,2,0,1,1,0,0
10,Andres Feliz,,23,6-9,1-1,0-3,0-3,3,0,1,2,0,0,13
02,Kipper Nichols,,14,1-3,0-1,3-4,0-1,1,1,0,1,0,3,5
00,Alan Griffin,,11,0-3,0-1,0-0,0-2,2,0,0,0,0,0,0
TM,TEAM,,0,0-0,0-0,0-0,4-3,7,0,0,1,0,0,0
