##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS
11,"Dosunmu,Ayo",*,36,5-17,1-6,5-7,0-5,5,2,4,4,1,0,16
21,"Cockburn,Kofi",*,27,1-5,0-0,7-10,3-1,4,4,2,3,0,1,9
20,"Williams,Da'Monte",*,22,2-2,2-2,0-0,0-4,4,0,0,1,0,1,6
01,"Frazier,Trent",*,24,1-4,1-4,2-2,0-2,2,3,1,0,0,0,5
15,"Bezhanishvili,Giorgi",*,27,1-4,1-1,0-4,2-4,6,3,2,2,0,0,3
10,"Feliz,Andres",,29,6-14,0-3,0-0,3-4,7,2,1,0,0,1,12
00,"Griffin,Alan",,20,3-5,3-5,0-1,5-4,9,1,1,1,0,0,9
02,"Nichols,Kipper",,13,3-9,0-1,0-0,1-1,2,1,0,0,0,1,6
05,"Jones,Tevian",,2,0-1,0-0,0-0,0-0,0,1,0,0,0,0,0
TM,TEAM,,0,0-0,0-0,0-0,0-1,1,0,0,0,0,0,0
