##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS
11,Ayo Dosunmu,*,34,6-14,1-6,2-3,0-2,2,3,4,5,0,0,15
01,Trent Frazier,*,31,5-10,3-4,1-2,0-0,0,3,1,1,0,2,14
10,Andres Feliz,*,33,5-10,0-0,3-4,1-9,10,3,3,7,0,0,13
21,Kofi Cockburn,*,29,3-7,0-0,3-4,3-4,7,1,1,2,2,1,9
15,Giorgi Bezhanishvili,*,21,2-3,1-2,1-2,0-1,1,5,0,3,0,1,6
00,Alan Griffin,,11,2-4,0-1,2-2,2-1,3,2,0,2,0,0,6
02,Kipper Nichols,,18,1-3,0-2,2-3,0-1,1,3,1,1,0,0,4
20,Da'Monte Williams,,14,1-2,0-1,0-0,0-1,1,2,0,1,0,0,2
13,Ben Bosmans-Verdonk,,6,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0
34,Jermaine Hamlin,,2,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0
32,Tyler Underwood,,1,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0
TM,TEAM,,0,0-0,0-0,0-0,2-1,3,0,0,0,0,0,0
