##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS
11,"Dosunmu,Ayo",*,37,7-17,1-4,2-2,2-7,9,2,1,3,0,3,17
21,"Cockburn,Kofi",*,29,3-6,0-0,5-6,3-5,8,2,1,3,1,0,11
20,"Williams,Da'Monte",*,19,2-5,2-3,0-0,0-3,3,2,0,0,0,1,6
01,"Frazier,Trent",*,34,1-8,0-2,2-2,0-2,2,3,4,1,0,3,4
15,"Bezhanishvili,Giorgi",*,13,1-7,0-3,0-1,0-0,0,3,0,3,0,0,2
10,"Feliz,Andres",,30,4-8,0-1,7-8,3-1,4,2,1,1,0,0,15
00,"Griffin,Alan",,25,2-4,1-2,4-6,4-3,7,1,1,2,0,2,9
05,"Jones,Tevian",,7,1-3,1-2,0-0,1-1,2,1,0,0,0,0,3
02,"Nichols,Kipper",,4,1-2,0-1,0-0,0-1,1,0,1,0,0,0,2
34,"Hamlin,Jermaine",,2,0-0,0-0,0-0,0-0,0,0,0,0,0,1,0
TM,TEAM,,0,0-0,0-0,0-0,1-1,2,0,0,0,0,0,0
