##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS
11,Ayo Dosunmu,*,38,11-18,2-3,3-3,0-7,7,2,2,4,0,0,27
01,Trent Frazier,*,21,3-7,2-4,2-2,0-1,1,4,1,2,0,0,10
21,Kofi Cockburn,*,30,2-9,0-0,1-3,2-1,3,5,1,0,0,0,5
15,Giorgi Bezhanishvili,*,25,2-7,0-2,0-0,0-5,5,3,0,1,0,0,4
20,Da'Monte Williams,*,31,0-1,0-1,0-0,0-5,5,2,0,0,0,1,0
10,Andres Feliz,,27,5-9,0-0,5-6,2-5,7,1,2,1,0,0,15
02,Kipper Nichols,,23,1-2,0-0,1-2,0-1,1,2,0,0,0,0,3
05,Tevian Jones,,5,0-1,0-1,0-0,0-0,0,0,0,0,0,0,0
TM,TEAM,,0,0-0,0-0,0-0,1-4,5,0,0,0,0,0,0
34,Jermaine Hamlin,,0+,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0
