##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS
11,Ayo Dosunmu,*,34,8-20,0-3,2-3,1-7,8,0,1,2,0,0,18
01,Trent Frazier,*,32,2-9,2-8,0-1,0-2,2,3,4,0,0,0,6
15,Giorgi Bezhanishvili,*,29,3-12,0-4,0-3,3-2,5,3,3,3,0,0,6
21,Kofi Cockburn,*,21,2-10,0-0,1-2,6-3,9,3,1,0,2,0,5
20,Da'Monte Williams,*,16,0-3,0-3,0-0,0-1,1,0,1,1,0,0,0
00,Alan Griffin,,25,5-9,1-5,6-6,3-6,9,0,1,0,0,1,17
10,Andres Feliz,,17,1-5,0-1,0-0,0-3,3,0,2,0,1,1,2
02,Kipper Nichols,,8,1-3,0-1,0-0,0-1,1,3,0,1,0,0,2
05,Tevian Jones,,11,0-4,0-3,0-0,0-0,0,4,1,1,0,0,0
34,Jermaine Hamlin,,3,0-0,0-0,0-0,0-0,0,1,0,0,0,0,0
32,Tyler Underwood,,2,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0
35,Samson Oladimeji,,1,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0
04,Zach Griffith,,1,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0
TM,TEAM,,0,0-0,0-0,0-0,7-3,10,0,0,0,0,0,0
