##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS
10,Andres Feliz,*,37,7-14,1-4,8-10,0-11,11,1,2,3,0,1,23
11,Ayo Dosunmu,*,32,8-11,1-1,4-6,1-6,7,2,2,5,0,2,21
15,Giorgi Bezhanishvili,*,34,4-9,2-2,1-3,3-1,4,3,0,4,0,0,11
21,Kofi Cockburn,*,32,4-6,0-0,2-6,6-5,11,3,1,3,2,0,10
01,Trent Frazier,*,35,0-9,0-6,4-4,0-4,4,1,4,1,0,1,4
00,Alan Griffin,,16,3-7,1-3,0-0,5-0,5,0,0,1,0,1,7
20,Da'Monte Williams,,16,1-1,0-0,0-0,1-3,4,3,3,1,0,0,2
02,Kipper Nichols,,15,0-2,0-2,0-0,0-2,2,3,0,3,0,1,0
13,Ben Bosmans-Verdonk,,7,0-2,0-1,0-0,1-1,2,1,0,1,0,0,0
32,Tyler Underwood,,1,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0
TM,TEAM,,0,0-0,0-0,0-0,3-0,3,0,0,1,0,0,0
