##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS
21,Kofi Cockburn,*,27,6-15,0-0,3-6,3-11,14,2,0,5,2,0,15
01,Trent Frazier,*,34,3-5,2-3,5-5,0-3,3,1,1,1,0,1,13
15,Giorgi Bezhanishvili,*,30,4-9,1-3,1-3,3-6,9,1,3,0,1,0,10
11,Ayo Dosunmu,*,34,4-12,1-3,0-0,0-2,2,0,3,4,0,1,9
10,Andres Feliz,*,30,2-6,0-0,3-4,1-7,8,0,5,3,0,0,7
02,Kipper Nichols,,22,3-5,0-1,3-4,1-1,2,2,1,0,0,0,9
00,Alan Griffin,,15,1-2,1-2,0-1,2-3,5,1,1,1,0,1,3
20,Da'Monte Williams,,7,0-0,0-0,0-0,0-0,0,1,0,1,0,0,0
04,Zach Griffith,,1,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0
TM,TEAM,,0,0-0,0-0,0-0,1-0,1,0,0,1,0,0,0
