##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS
21,Kofi Cockburn,*,24,8-13,0-0,2-5,6-11,17,3,1,4,1,0,18
11,Ayo Dosunmu,*,30,7-15,1-6,1-1,2-0,2,2,1,2,0,1,16
15,Giorgi Bezhanishvili,*,24,7-11,0-0,2-2,5-4,9,1,2,1,0,0,16
01,Trent Frazier,*,25,2-6,1-4,4-5,0-3,3,2,5,1,0,0,9
10,Andres Feliz,*,26,3-6,0-0,2-2,1-3,4,2,3,0,0,0,8
13,Ben Bosmans-Verdonk,,13,2-3,0-1,2-2,1-3,4,2,1,1,2,0,6
00,Alan Griffin,,17,2-9,1-6,0-0,1-2,3,0,1,1,0,0,5
20,Da'Monte Williams,,22,0-1,0-1,2-2,3-6,9,0,1,2,0,3,2
34,Jermaine Hamlin,,5,1-1,0-0,0-0,2-0,2,1,0,0,0,0,2
02,Kipper Nichols,,5,1-2,0-0,0-0,0-0,0,0,0,0,1,0,2
04,Zach Griffith,,1,0-0,0-0,1-2,0-0,0,0,0,0,0,0,1
32,Tyler Underwood,,7,0-1,0-0,0-0,0-0,0,0,2,1,0,0,0
35,Samson Oladimeji,,1,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0
TM,TEAM,,0,0-0,0-0,0-0,1-1,2,0,0,0,0,0,0
