##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS
01,Trent Frazier,*,33,3-7,2-6,5-6,0-2,2,2,1,2,0,2,13
11,Ayo Dosunmu,*,35,4-12,1-3,0-1,1-4,5,1,3,2,0,2,9
21,Kofi Cockburn,*,21,4-7,0-0,1-1,3-5,8,4,1,1,0,0,9
15,Giorgi Bezhanishvili,*,26,3-9,0-0,0-0,2-1,3,4,1,4,1,0,6
20,Da'Monte Williams,*,28,1-5,0-3,1-2,0-8,8,0,2,1,0,1,3
10,Andres Feliz,,27,4-7,0-0,3-4,1-4,5,3,2,1,0,0,11
02,Kipper Nichols,,21,3-6,0-0,1-2,0-2,2,2,0,2,0,0,7
00,Alan Griffin,,5,0-2,0-2,0-0,0-2,2,1,0,0,0,0,0
13,Ben Bosmans-Verdonk,,2,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0
34,Jermaine Hamlin,,2,0-1,0-0,0-0,1-0,1,0,0,0,0,0,0
TM,TEAM,,0,0-0,0-0,0-0,2-3,5,0,0,0,0,0,0
