##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS
11,"Dosunmu,Ayo",*,40,7-16,1-5,2-5,4-3,7,2,8,4,0,1,17
10,"Feliz,Andres",*,25,5-8,2-5,2-3,0-0,0,2,2,0,0,1,14
21,"Cockburn,Kofi",*,25,5-8,0-0,2-3,3-5,8,4,1,0,1,2,12
02,"Nichols,Kipper",*,18,3-3,0-0,4-4,3-0,3,3,1,0,0,0,10
32,"Underwood,Tyler",*,3,0-0,0-0,0-0,0-0,0,1,2,0,0,0,0
20,"Williams,Da'Monte",,26,3-4,2-3,1-2,0-2,2,3,1,0,1,0,9
01,"Frazier,Trent",,30,3-13,1-8,0-0,0-1,1,1,1,0,0,1,7
15,"Bezhanishvili,Giorgi",,15,3-6,0-0,0-0,1-3,4,2,1,0,0,0,6
00,"Griffin,Alan",,18,1-3,1-3,0-0,0-2,2,1,3,1,0,1,3
TM,TEAM,,0,0-0,0-0,0-0,1-2,3,0,0,0,0,0,0
