##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS
11,"Dosunmu,Ayo",*,37,9-14,1-3,2-2,0-5,5,2,5,3,1,1,21
10,"Feliz,Andres",*,32,4-14,1-6,2-2,3-8,11,4,1,4,0,1,11
01,"Frazier,Trent",*,31,3-10,1-6,1-2,0-2,2,4,1,1,0,1,8
20,"Williams,Da'Monte",*,31,2-3,2-3,0-0,1-2,3,0,2,2,0,1,6
21,"Cockburn,Kofi",*,23,2-5,0-0,2-2,2-1,3,4,1,1,3,0,6
00,"Griffin,Alan",,21,2-5,1-3,2-2,1-2,3,1,0,0,0,0,7
02,"Nichols,Kipper",,12,1-3,0-1,0-0,0-1,1,3,0,0,0,2,2
15,"Bezhanishvili,Giorgi",,11,1-1,0-0,0-0,0-0,0,4,0,1,0,0,2
34,"Hamlin,Jermaine",,2,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0
05,"Jones,Tevian",,0+,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0
32,"Underwood,Tyler",,0+,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0
35,"Oladimeji,Samson",,0+,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0
TM,TEAM,,0,0-0,0-0,0-0,2-1,3,0,0,2,0,0,0
