##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS
21,Kofi Cockburn,*,23,8-8,0-0,7-8,2-2,4,3,0,3,0,0,23
01,Trent Frazier,*,34,4-7,4-5,2-2,0-2,2,2,2,2,0,0,14
11,Ayo Dosunmu,*,36,5-14,0-4,2-2,0-0,0,3,4,2,0,2,12
10,Andres Feliz,*,25,4-8,0-1,3-5,0-6,6,1,3,3,0,0,11
15,Giorgi Bezhanishvili,*,32,3-5,0-0,0-2,4-4,8,3,5,1,2,0,6
00,Alan Griffin,,15,2-4,2-4,2-2,1-2,3,3,0,1,2,0,8
20,Da'Monte Williams,,27,2-6,0-2,1-2,1-6,7,1,2,0,0,2,5
02,Kipper Nichols,,4,0-1,0-1,0-0,0-0,0,1,0,1,0,0,0
13,Ben Bosmans-Verdonk,,4,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0
TM,TEAM,,0,0-0,0-0,0-0,2-0,2,0,0,0,0,0,0
