##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS
21,Kofi Cockburn,*,29,11-16,0-0,4-7,4-5,9,2,1,1,2,1,26
11,Ayo Dosunmu,*,26,8-14,2-5,1-1,0-7,7,2,2,0,0,2,19
20,Da'Monte Williams,*,23,2-3,2-3,0-0,1-3,4,1,4,0,0,1,6
01,Trent Frazier,*,20,2-6,2-6,0-0,0-1,1,3,1,0,0,0,6
15,Giorgi Bezhanishvili,*,16,0-4,0-3,0-0,2-0,2,1,5,1,1,1,0
00,Alan Griffin,,24,7-8,4-5,0-0,2-1,3,1,1,1,0,0,18
10,Andres Feliz,,21,3-9,1-4,4-4,1-2,3,1,4,0,0,0,11
02,Kipper Nichols,,19,2-5,0-0,0-0,0-2,2,3,4,3,0,2,4
05,Tevian Jones,,7,1-3,0-0,1-2,0-1,1,3,0,1,1,0,3
34,Jermaine Hamlin,,9,0-0,0-0,1-2,1-1,2,0,0,1,0,0,1
04,Zach Griffith,,2,0-0,0-0,1-2,0-1,1,0,0,0,0,0,1
35,Samson Oladimeji,,2,0-0,0-0,0-0,1-0,1,0,0,0,1,0,0
32,Tyler Underwood,,2,0-0,0-0,0-1,0-0,0,0,0,0,0,0,0
TM,TEAM,,0,0-0,0-0,0-0,2-1,3,0,0,1,0,0,0
