##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS
11,"Dosunmu,Ayo",*,32,9-16,0-3,0-2,0-2,2,4,2,3,0,2,18
21,"Cockburn,Kofi",*,27,5-9,0-0,5-7,2-8,10,1,0,0,1,0,15
01,"Frazier,Trent",*,37,4-12,3-8,0-0,0-3,3,2,3,3,0,1,11
10,"Feliz,Andres",*,31,4-10,1-1,2-3,0-7,7,0,3,2,0,1,11
20,"Williams,Da'Monte",*,29,1-3,0-2,1-3,2-3,5,2,2,1,0,0,3
00,"Griffin,Alan",,20,5-13,1-5,2-2,4-3,7,0,1,0,1,1,13
15,"Bezhanishvili,Giorgi",,13,0-6,0-0,0-0,4-1,5,1,0,0,0,0,0
02,"Nichols,Kipper",,11,0-2,0-0,0-0,2-1,3,0,2,1,0,1,0
TM,TEAM,,0,0-0,0-0,0-0,5-1,6,0,0,0,0,0,0
