##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS
00,"Griffin,Alan",*,34,3-11,3-6,5-5,2-4,6,0,0,2,0,0,14
10,"Feliz,Andres",*,31,4-9,2-4,0-0,1-4,5,2,4,1,0,1,10
21,"Cockburn,Kofi",*,31,5-12,0-0,0-4,7-3,10,2,0,3,0,3,10
01,"Frazier,Trent",*,39,2-13,1-9,4-4,1-3,4,4,2,1,0,1,9
20,"Williams,Da'Monte",*,16,0-1,0-1,0-0,0-1,1,3,2,1,1,0,0
15,"Bezhanishvili,Giorgi",,24,2-4,0-0,2-2,3-4,7,1,2,1,1,0,6
05,"Jones,Tevian",,19,2-8,2-7,0-0,2-1,3,2,0,0,1,0,6
02,"Nichols,Kipper",,3,1-2,0-0,0-0,0-0,0,0,0,0,0,0,2
32,"Underwood,Tyler",,2,0-1,0-1,0-0,0-0,0,1,0,0,0,0,0
34,"Hamlin,Jermaine",,1,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0
TM,TEAM,,0,0-0,0-0,0-0,0-1,1,0,0,2,0,0,0
