##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS
11,Ayo Dosunmu,*,27,4-9,2-4,4-4,0-2,2,0,3,1,0,0,14
21,Kofi Cockburn,*,29,3-6,0-0,5-6,3-6,9,0,1,3,1,0,11
01,Trent Frazier,*,23,3-7,1-4,2-2,0-2,2,3,3,1,0,4,9
15,Giorgi Bezhanishvili,*,22,1-3,0-0,4-4,1-5,6,2,4,3,0,0,6
20,Da'Monte Williams,*,19,0-1,0-1,0-0,0-4,4,0,2,1,0,1,0
00,Alan Griffin,,16,6-7,3-4,0-0,0-0,0,1,0,2,1,1,15
02,Kipper Nichols,,20,2-6,1-3,3-4,0-1,1,2,0,2,0,1,8
10,Andres Feliz,,24,3-6,0-2,0-0,0-3,3,2,2,1,0,0,6
34,Jermaine Hamlin,,6,0-0,0-0,0-0,0-0,0,2,0,0,0,0,0
32,Tyler Underwood,,4,0-1,0-1,0-0,0-0,0,0,0,0,0,0,0
05,Tevian Jones,,4,0-1,0-1,0-0,0-0,0,0,0,0,0,0,0
13,Ben Bosmans-Verdonk,,2,0-0,0-0,0-0,0-0,0,0,0,1,0,0,0
35,Samson Oladimeji,,2,0-0,0-0,0-0,0-1,1,0,0,0,0,0,0
04,Zach Griffith,,2,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0
TM,TEAM,,0,0-0,0-0,0-0,1-1,2,0,0,2,0,0,0
