##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS
11,"Dosunmu,Ayo",*,38,6-15,1-2,4-6,1-2,3,3,1,2,0,1,17
21,"Cockburn,Kofi",*,35,4-6,0-0,7-10,2-3,5,2,0,1,6,0,15
10,"Feliz,Andres",*,33,6-11,1-2,2-3,1-6,7,3,4,2,0,3,15
20,"Williams,Da'Monte",*,21,2-5,1-2,2-3,0-3,3,1,1,0,0,0,7
01,"Frazier,Trent",*,31,0-4,0-2,2-2,0-3,3,2,1,1,0,1,2
15,"Bezhanishvili,Giorgi",,21,3-5,0-0,0-0,2-4,6,2,0,1,0,0,6
00,"Griffin,Alan",,16,2-6,1-4,0-0,0-1,1,2,2,0,0,0,5
02,"Nichols,Kipper",,5,0-0,0-0,0-0,0-0,0,1,0,0,0,0,0
TM,TEAM,,0,0-0,0-0,0-0,1-2,3,0,0,0,0,0,0
