##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS
11,Ayo Dosunmu,*,37,7-15,2-3,2-2,1-4,5,2,6,1,0,0,18
21,Kofi Cockburn,*,24,6-9,0-0,3-6,1-5,6,4,0,1,1,0,15
15,Giorgi Bezhanishvili,*,25,4-4,0-0,0-1,0-1,1,4,1,1,1,0,8
01,Trent Frazier,*,31,2-9,1-3,1-2,1-2,3,0,2,0,0,1,6
20,Da'Monte Williams,*,19,0-1,0-1,0-0,0-2,2,2,0,0,0,0,0
00,Alan Griffin,,18,4-5,3-4,1-2,0-2,2,4,0,0,0,0,12
10,Andres Feliz,,24,3-9,1-4,1-2,1-4,5,3,1,1,0,0,8
02,Kipper Nichols,,20,2-5,0-1,0-0,2-0,2,2,1,3,0,0,4
34,Jermaine Hamlin,,2,0-0,0-0,0-0,0-0,0,1,0,0,0,0,0
TM,TEAM,,0,0-0,0-0,0-0,2-1,3,0,0,0,0,0,0
