##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS
01,Trent Frazier,*,36,5-11,4-7,2-2,1-4,5,2,3,0,0,0,16
11,Ayo Dosunmu,*,33,5-11,1-5,4-4,0-2,2,1,6,1,0,0,15
15,Giorgi Bezhanishvili,*,28,6-9,1-2,0-0,3-1,4,1,0,2,1,1,13
21,Kofi Cockburn,*,34,4-7,0-0,4-5,2-5,7,1,0,3,2,0,12
20,Da'Monte Williams,*,15,0-1,0-1,0-0,0-2,2,1,3,0,2,0,0
10,Andres Feliz,,24,3-7,2-6,2-2,0-5,5,2,2,1,0,0,10
02,Kipper Nichols,,14,3-5,0-0,0-2,1-0,1,1,3,0,0,1,6
00,Alan Griffin,,16,1-3,1-3,0-0,1-2,3,2,0,0,0,0,3
TM,TEAM,,0,0-0,0-0,0-0,0-3,3,0,0,1,0,0,0
