##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS
01,Trent Frazier,*,32,5-12,2-7,0-0,0-2,2,0,1,0,0,1,12
21,Kofi Cockburn,*,30,6-10,0-0,0-2,0-4,4,3,1,2,0,2,12
15,Giorgi Bezhanishvili,*,21,3-8,1-4,1-2,1-3,4,3,2,2,0,0,8
11,Ayo Dosunmu,*,26,3-11,0-1,0-0,0-7,7,2,2,2,1,0,6
20,Da'Monte Williams,*,18,0-0,0-0,0-0,0-3,3,2,1,0,0,0,0
00,Alan Griffin,,20,6-8,2-4,2-2,6-6,12,2,1,2,2,0,16
02,Kipper Nichols,,24,2-5,1-1,1-2,1-4,5,2,0,3,0,1,6
10,Andres Feliz,,18,1-1,1-1,0-0,1-1,2,1,6,1,0,1,3
05,Tevian Jones,,3,0-1,0-0,0-0,0-2,2,1,0,1,0,0,0
34,Jermaine Hamlin,,3,0-0,0-0,0-0,0-0,0,0,0,0,1,0,0
04,Zach Griffith,,2,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0
32,Tyler Underwood,,2,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0
35,Samson Oladimeji,,1,0-1,0-1,0-0,0-0,0,0,0,0,0,0,0
TM,TEAM,,0,0-0,0-0,0-0,3-2,5,0,0,0,0,0,0
