##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS
01,Trent Frazier,*,37,4-12,3-8,1-2,1-2,3,3,2,1,0,3,12
11,Ayo Dosunmu,*,29,5-8,1-3,0-1,0-1,1,2,3,1,0,0,11
15,Giorgi Bezhanishvili,*,28,3-9,0-0,1-1,4-2,6,2,1,4,0,0,7
21,Kofi Cockburn,*,27,2-6,0-0,2-2,3-3,6,3,1,3,0,0,6
20,Da'Monte Williams,*,12,0-0,0-0,0-0,0-2,2,2,1,0,0,0,0
10,Andres Feliz,,28,6-11,2-4,3-3,2-2,4,2,1,0,0,2,17
02,Kipper Nichols,,20,2-5,0-0,2-2,3-2,5,4,1,1,0,0,6
00,Alan Griffin,,19,2-7,2-7,0-0,0-5,5,1,2,3,0,1,6
TM,TEAM,,0,0-0,0-0,0-0,0-1,1,0,0,0,0,0,0
