##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS
11,Ayo Dosunmu,*,37,5-11,1-2,7-8,0-7,7,1,2,4,2,1,18
21,Kofi Cockburn,*,30,3-8,0-0,5-6,4-13,17,0,0,1,2,0,11
15,Giorgi Bezhanishvili,*,29,3-13,0-1,2-3,2-3,5,0,1,1,0,0,8
01,Trent Frazier,*,31,1-8,0-5,2-2,0-1,1,3,2,0,0,0,4
20,Da'Monte Williams,*,13,0-1,0-1,0-0,1-0,1,0,1,0,0,0,0
10,Andres Feliz,,24,4-9,0-1,0-0,0-0,0,3,1,0,0,1,8
00,Alan Griffin,,22,1-9,1-4,0-0,4-4,8,1,0,0,0,0,3
02,Kipper Nichols,,13,1-4,0-0,0-0,2-3,5,4,0,1,0,0,2
05,Tevian Jones,,1,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0
TM,TEAM,,0,0-0,0-0,0-0,3-1,4,0,0,1,0,0,0
