##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS
11,"Dosunmu,Ayo",*,37,9-15,1-3,5-8,0-4,4,0,1,2,0,1,24
21,"Cockburn,Kofi",*,23,6-10,0-0,2-3,2-5,7,4,0,2,1,0,14
01,"Frazier,Trent",*,35,2-7,0-1,2-4,2-2,4,2,1,1,0,0,6
10,"Feliz,Andres",*,31,2-7,0-2,1-2,2-5,7,2,2,1,0,1,5
20,"Williams,Da'Monte",*,24,0-1,0-0,0-0,0-4,4,4,4,0,2,1,0
00,"Griffin,Alan",,17,3-5,2-4,1-1,1-3,4,1,0,0,0,2,9
15,"Bezhanishvili,Giorgi",,17,1-6,0-0,0-0,1-4,5,2,0,2,0,0,2
02,"Nichols,Kipper",,16,1-3,0-0,0-0,1-1,2,1,0,1,0,0,2
TM,TEAM,,0,0-0,0-0,0-0,1-1,2,0,0,4,0,0,0
