##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS
11,"Dosunmu,Ayo",*,35,7-12,1-2,6-6,1-5,6,0,4,5,0,0,21
21,"Cockburn,Kofi",*,30,6-8,0-0,0-0,5-9,14,4,1,1,1,0,12
01,"Frazier,Trent",*,33,3-14,1-9,2-2,0-3,3,3,3,0,0,1,9
10,"Feliz,Andres",*,32,1-8,0-3,2-4,0-2,2,2,7,0,0,0,4
20,"Williams,Da'Monte",*,33,0-1,0-1,2-3,1-2,3,1,2,0,1,0,2
00,"Griffin,Alan",,20,9-11,6-8,0-0,1-6,7,0,2,0,0,0,24
15,"Bezhanishvili,Giorgi",,13,1-3,0-0,0-0,4-1,5,2,0,1,0,0,2
02,"Nichols,Kipper",,4,0-1,0-0,0-0,1-0,1,3,0,0,0,0,0
TM,TEAM,,0,0-0,0-0,0-0,0-1,1,0,0,1,0,0,0
