##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS
21,Kofi Cockburn,*,23,8-12,0-0,7-13,6-8,14,4,0,4,0,1,23
10,Andres Feliz,*,33,7-14,0-1,7-8,1-5,6,1,4,2,0,2,21
11,Ayo Dosunmu,*,35,3-11,1-3,2-2,0-3,3,3,6,2,0,0,9
15,Giorgi Bezhanishvili,*,17,3-5,0-0,3-5,4-2,6,5,2,2,0,0,9
01,Trent Frazier,*,31,3-6,0-1,2-2,0-3,3,4,1,1,0,0,8
00,Alan Griffin,,18,4-9,3-7,0-0,1-2,3,0,0,1,0,0,11
20,Da'Monte Williams,,27,1-4,0-1,0-0,2-5,7,1,0,2,0,1,2
02,Kipper Nichols,,8,0-1,0-0,0-0,1-1,2,3,0,0,0,1,0
13,Ben Bosmans-Verdonk,,4,0-1,0-0,0-0,0-0,0,0,0,1,0,0,0
34,Jermaine Hamlin,,3,0-1,0-0,0-0,1-1,2,0,0,2,0,0,0
32,Tyler Underwood,,1,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0
TM,TEAM,,0,0-0,0-0,0-0,4-2,6,0,0,0,0,0,0
